%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1562106035168054601,353,1562106035167819365,,90,0.0
1562106035221025497,354,1562106035220617572,,91,0.0
1562106035269756951,355,1562106035267396860,,91,0.0
1562106035320388008,356,1562106035320167328,,91,0.0
1562106035367866050,357,1562106035367486812,,92,0.0
1562106035418994518,358,1562106035418791857,,92,0.0
1562106035466937223,359,1562106035466761645,,92,0.0
1562106035519133320,360,1562106035518903464,,93,0.0
1562106035568081689,361,1562106035567721973,,93,0.0
1562106035618315671,362,1562106035618141635,,93,0.0
1562106035666302481,363,1562106035666133463,,93,0.0
1562106035719035578,364,1562106035718862417,,93,0.0
1562106035770239132,365,1562106035770010913,,93,0.0
1562106035869398512,366,1562106035869066551,,93,0.0
1562106035919675701,367,1562106035919343531,,94,0.0
1562106035968508428,368,1562106035968240462,,94,0.0
1562106036021139635,369,1562106036020897968,,94,0.0
1562106036067526289,370,1562106036066957905,,94,0.0
1562106036120618659,371,1562106036120311625,,94,0.0
1562106036169674639,372,1562106036169250207,,95,0.0
1562106036220291316,373,1562106036219747148,,95,0.0
1562106036268288485,374,1562106036268094718,,95,0.0
1562106036320742946,375,1562106036320440114,,95,0.0
1562106036367818445,376,1562106036367611182,,95,0.0
1562106036419799663,377,1562106036419361198,,96,0.0
1562106036467904245,378,1562106036467673231,,96,0.0
1562106036589427247,379,1562106036588692340,,96,0.0
1562106036628779882,380,1562106036627617525,,97,0.0
1562106036667348260,381,1562106036667181293,,97,0.0
1562106036720518010,382,1562106036719813407,,97,0.0
1562106036768485792,383,1562106036767736018,,97,0.0
1562106036868265799,384,1562106036868076901,,98,0.0
1562106036920788813,385,1562106036920574884,,98,0.0
1562106036980988727,386,1562106036978871882,,98,0.0
1562106037019529168,387,1562106037019261699,,98,0.0
1562106037068405684,388,1562106037068056339,,99,0.0
1562106037119675583,389,1562106037119493075,,99,0.0
1562106037168565883,390,1562106037168386966,,99,0.0
1562106037219766192,391,1562106037219199588,,99,0.0
1562106037268758188,392,1562106037268593488,,99,0.0
1562106037319951000,393,1562106037319623286,,100,0.0
1562106037368377027,394,1562106037367963456,,100,0.0
1562106037419376642,395,1562106037419168626,,100,0.0
1562106037467756589,396,1562106037467544480,,100,0.0
1562106037519282129,397,1562106037518977124,,100,0.0
1562106037588722976,398,1562106037587019228,,101,0.0
1562106037619684069,399,1562106037619252468,,101,0.0
1562106037667468152,400,1562106037666807821,,101,0.0
1562106037719125487,401,1562106037718849969,,101,0.0
1562106037767560565,402,1562106037767376038,,101,0.0
1562106037866778983,403,1562106037866545736,,101,0.0
1562106037919199328,404,1562106037919025003,,102,0.0
1562106037979450260,405,1562106037979160730,,102,0.0
1562106038019536849,406,1562106038019350415,,102,0.0
1562106038066967241,407,1562106038066782046,,102,0.0
1562106038117964106,408,1562106038117788946,,102,0.0
1562106038167294627,409,1562106038167015997,,102,0.0
1562106038220972653,410,1562106038220777115,,102,0.0
1562106038266546324,411,1562106038266378400,,102,0.0
1562106038319213171,412,1562106038319024808,,103,0.0
1562106038379749348,413,1562106038379283913,,103,0.0
1562106038419366855,414,1562106038418729054,,103,0.0
1562106038466499758,415,1562106038466316031,,103,0.0
1562106038518670409,416,1562106038518433477,,103,0.0
1562106038571032546,417,1562106038570783969,,104,0.0
1562106038738045175,418,1562106038737196411,,104,0.0
1562106038791945871,419,1562106038787358172,,104,0.0
1562106038865512923,420,1562106038865313067,,104,0.0
1562106038917407609,421,1562106038917141507,,104,0.0
1562106038967856540,422,1562106038967590942,,104,0.0
1562106039018321677,423,1562106039018177889,,105,0.0
1562106039066664774,424,1562106039066500062,,105,0.0
1562106039118127010,425,1562106039117956160,,105,0.0
1562106039167205585,426,1562106039166965812,,105,0.0
1562106039217951136,427,1562106039217628278,,105,0.0
1562106039267408401,428,1562106039267190724,,105,0.0
1562106039320178221,429,1562106039319954238,,105,0.0
1562106039368623630,430,1562106039368368981,,105,0.0
1562106039417850187,431,1562106039417686720,,105,0.0
1562106039466545712,432,1562106039466310783,,106,0.0
1562106039519630070,433,1562106039519429573,,106,0.0
1562106039568664077,434,1562106039568398681,,106,0.0
1562106039738295398,435,1562106039737422667,,107,0.0
1562106039884129768,436,1562106039883467738,,107,0.0
1562106039945034445,437,1562106039943798336,,107,0.0
1562106039981781829,438,1562106039981466621,,107,0.0
1562106040067181844,439,1562106040067006354,,107,0.0
1562106040119823426,440,1562106040119475431,,107,0.0
1562106040167018488,441,1562106040166782995,,107,0.0
1562106040218518984,442,1562106040218105116,,107,0.0
1562106040267181368,443,1562106040266972770,,107,0.0
1562106040319917613,444,1562106040319189513,,107,0.0
1562106040366169430,445,1562106040366002685,,107,0.0
1562106040418589064,446,1562106040418409416,,108,0.0
1562106040484444024,447,1562106040483680982,,108,0.0
1562106040521187743,448,1562106040520929178,,108,0.0
1562106040566223912,449,1562106040566046713,,108,0.0
1562106040619136074,450,1562106040618912460,,108,0.0
1562106040665890087,451,1562106040665705676,,108,0.0
